区/市,職種,駅名,住所,キャッチコピー,タイトル,仕事内容,アピールポイント
名古屋市中村区,軽作業スタッフ（アルバイト・パート）,名古屋,愛知県名古屋市中村区名駅一丁目,週5フルタイム◎倉庫内のピッキング・検品スタッフ♪,未経験から｜倉庫内の軽作業｜名古屋駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市中村区で募集中／
週5日以上・フルタイムで働きたい方へ。
倉庫内の軽作業スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

「アルバイトでも、しっかり日数を入れたい」
「毎日決まった時間で働きたい」

このお仕事は週5日以上・1日実働8時間程度のフルタイム勤務が前提です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ ピッキング
リストの棚番号を見て、指定された商品を集めます。
■ 検品
品番と数量がリストと合っているかを確認します。
■ 梱包
商品を緩衝材で包み、指定の箱に詰めます。
■ 仕分け
届け先ごとに商品を分け、所定の場所に置きます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ 週5日以上・1日実働8時間程度のフルタイム勤務です
✔ シフト制です
✔ 毎日同じリズムで働きたい方に向いています
✔ 勤務時間の詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 経験・資格は必要ありません
✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中村区名駅一丁目（名古屋駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼このお仕事の特徴✼》

✅ ① 週5日以上のフルタイム勤務です
1日実働8時間程度の勤務です。
日数を入れて働きたい方に向いています。

✅ ② 手順が決まっています
何をどの順で確認するかはリストとマニュアルにあります。
自分で判断する場面はほとんどありません。

✅ ③ 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市中区,軽作業スタッフ（アルバイト・パート）,金山,愛知県名古屋市中区金山一丁目,しっかり働きたい方へ◎倉庫内のピッキング・検品スタッフ◎,経験不問｜倉庫内の軽作業｜金山駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市中区で募集中／
毎日同じリズムで働きたい方へ。
シフト制・フルタイムの軽作業◎
✦・━━━━━━━━━━━━━━━・✦

「アルバイトでも、しっかり日数を入れたい」
「毎日決まった時間で働きたい」

このお仕事は週5日以上・1日実働8時間程度のフルタイム勤務が前提です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ ピッキング
リストの棚番号を見て、指定された商品を集めます。
■ 検品
品番と数量がリストと合っているかを確認します。
■ 梱包
商品を緩衝材で包み、指定の箱に詰めます。
■ 仕分け
届け先ごとに商品を分け、所定の場所に置きます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ 週5日以上・1日実働8時間程度のフルタイム勤務です
✔ シフト制です
✔ 毎日同じリズムで働きたい方に向いています
✔ 勤務時間の詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 経験・資格は必要ありません
✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区金山一丁目（金山駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼ここがはじめやすい✼》

✅ ① 週5日以上のフルタイム勤務です
1日実働8時間程度の勤務です。
日数を入れて働きたい方に向いています。

✅ ② 手順が決まっています
何をどの順で確認するかはリストとマニュアルにあります。
自分で判断する場面はほとんどありません。

✅ ③ 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市中区,軽作業スタッフ（アルバイト・パート）,栄,愛知県名古屋市中区栄三丁目,安定シフト◎倉庫内のピッキング・検品スタッフ！,未経験スタート｜倉庫内の軽作業｜栄駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市中区で募集中／
アルバイト・パートでしっかり働く。
倉庫内のピッキング・検品スタッフ◎
✦・━━━━━━━━━━━━━━━・✦

「アルバイトでも、しっかり日数を入れたい」
「毎日決まった時間で働きたい」

このお仕事は週5日以上・1日実働8時間程度のフルタイム勤務が前提です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ 商品を受け取る
作業台まで運ばれてきた商品を受け取ります。
■ 状態を見る
傷・汚れ・数量の違いがないかを確認します。
■ 箱に詰める
緩衝材で包み、指定の箱に入れて封をします。
■ ラベルを貼る
伝票を決められた位置に貼り、次の工程へ回します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ 週5日以上・1日実働8時間程度のフルタイム勤務です
✔ シフト制です
✔ 毎日同じリズムで働きたい方に向いています
✔ 勤務時間の詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 経験・資格は必要ありません
✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区栄三丁目（栄駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼働き方のポイント✼》

✅ ① 週5日以上のフルタイム勤務です
1日実働8時間程度の勤務です。
日数を入れて働きたい方に向いています。

✅ ② 手順が決まっています
何をどの順で確認するかはリストとマニュアルにあります。
自分で判断する場面はほとんどありません。

✅ ③ 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市名東区,軽作業スタッフ（アルバイト・パート）,藤が丘,愛知県名古屋市名東区藤が丘,フルタイム勤務◎倉庫内のピッキング・検品スタッフ☆,資格不要｜倉庫内の軽作業｜藤が丘駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市名東区で募集中／
腰を据えて働きたい方へ。
週5日以上のフルタイム軽作業◎
✦・━━━━━━━━━━━━━━━・✦

「アルバイトでも、しっかり日数を入れたい」
「毎日決まった時間で働きたい」

このお仕事は週5日以上・1日実働8時間程度のフルタイム勤務が前提です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ 商品を受け取る
作業台まで運ばれてきた商品を受け取ります。
■ 状態を見る
傷・汚れ・数量の違いがないかを確認します。
■ 箱に詰める
緩衝材で包み、指定の箱に入れて封をします。
■ ラベルを貼る
伝票を決められた位置に貼り、次の工程へ回します。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ 週5日以上の勤務が前提です
✔ 1日実働8時間程度のフルタイムです
✔ シフトは週5日以上を前提に組みます
✔ 開始時刻など詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 経験・資格は必要ありません
✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市名東区藤が丘（藤が丘駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼作業のすすめ方✼》

✅ ① 週5日以上のフルタイム勤務です
1日実働8時間程度の勤務です。
日数を入れて働きたい方に向いています。

✅ ② 手順が決まっています
何をどの順で確認するかはリストとマニュアルにあります。
自分で判断する場面はほとんどありません。

✅ ③ 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市千種区,軽作業スタッフ（アルバイト・パート）,千種,愛知県名古屋市千種区内山三丁目,腰を据えて働ける◎倉庫内のピッキング・検品スタッフ✨,もくもく作業｜倉庫内の軽作業｜千種駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市千種区で募集中／
生活のリズムをつくりたい方へ。
倉庫内の軽作業スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

「アルバイトでも、しっかり日数を入れたい」
「毎日決まった時間で働きたい」

このお仕事は週5日以上・1日実働8時間程度のフルタイム勤務が前提です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ 開始前の確認
その日の担当工程と作業量を確認します。
■ ピッキング・検品
リストに沿って商品を集め、品番と数量を確かめます。
■ 梱包・仕分け
包んで箱詰めし、届け先ごとに分けます。
■ 片付け
使った資材と作業エリアを整えて終了です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ 週5日以上の勤務が前提です
✔ 1日実働8時間程度のフルタイムです
✔ シフトは週5日以上を前提に組みます
✔ 開始時刻など詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 経験・資格は必要ありません
✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市千種区内山三丁目（千種駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼続けやすい理由✼》

✅ ① 週5日以上のフルタイム勤務です
1日実働8時間程度の勤務です。
日数を入れて働きたい方に向いています。

✅ ② 手順が決まっています
何をどの順で確認するかはリストとマニュアルにあります。
自分で判断する場面はほとんどありません。

✅ ③ 接客・電話対応はありません
倉庫内での作業が中心です。
人と話すより手を動かしたい方に向いています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市東区,軽作業スタッフ（アルバイト・パート）,大曽根,愛知県名古屋市東区東大曽根町,毎日同じリズムで◎倉庫内のピッキング・検品スタッフ♪,未経験から｜軽作業スタッフ｜大曽根駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市東区で募集中／
週5日以上・フルタイムで働きたい方へ。
倉庫内の軽作業スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事は力がいるのでは？」
「経験がないと難しそう」

扱うのは片手で持てるサイズの商品が中心です。手順も決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ 開始前の確認
その日の担当工程と作業量を確認します。
■ ピッキング・検品
リストに沿って商品を集め、品番と数量を確かめます。
■ 梱包・仕分け
包んで箱詰めし、届け先ごとに分けます。
■ 片付け
使った資材と作業エリアを整えて終了です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ 週5日以上の勤務が前提です
✔ 1日実働8時間程度のフルタイムです
✔ シフトは週5日以上を前提に組みます
✔ 開始時刻など詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 経験・資格は必要ありません
✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市東区東大曽根町（大曽根駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼このお仕事の特徴✼》

✅ ① 経験も資格も要りません
ピッキング・検品・梱包・仕分けのどれも決まった手順で進めます。

✅ ② 重いものを運ぶ作業はありません
扱うのは片手で持てるサイズの商品が中心です。

✅ ③ 毎日のリズムがつくれます
週5日以上・1日実働8時間程度の勤務なので、
生活の予定を立てやすい働き方です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
豊橋市,軽作業スタッフ（アルバイト・パート）,豊橋,愛知県豊橋市花田町,生活リズムを整えたい方へ◎倉庫内のピッキング・検品スタッフ◎,経験不問｜軽作業スタッフ｜豊橋駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県豊橋市で募集中／
毎日同じリズムで働きたい方へ。
シフト制・フルタイムの軽作業◎
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事は力がいるのでは？」
「経験がないと難しそう」

扱うのは片手で持てるサイズの商品が中心です。手順も決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ ピッキング（リストの棚番号を見て商品を集める）
■ 検品（品番と数量をリストと照合する）
■ 梱包（緩衝材で包み、指定の箱へ）
■ 仕分け（届け先ごとに分けて所定の場所へ）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ フルタイム勤務（1日実働8時間程度）です
✔ 週5日以上入れる方を想定しています
✔ シフト制で担当工程は日によって変わります
✔ 勤務時間の詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 経験・資格は必要ありません
✔ 作業手順はマニュアルで決まっています
✔ 接客や電話対応はありません
✔ 覚える範囲は担当する工程だけです

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県豊橋市花田町（豊橋駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼ここがはじめやすい✼》

✅ ① 経験も資格も要りません
ピッキング・検品・梱包・仕分けのどれも決まった手順で進めます。

✅ ② 重いものを運ぶ作業はありません
扱うのは片手で持てるサイズの商品が中心です。

✅ ③ 毎日のリズムがつくれます
週5日以上・1日実働8時間程度の勤務なので、
生活の予定を立てやすい働き方です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市中区,軽作業スタッフ（アルバイト・パート）,伏見,愛知県名古屋市中区栄一丁目,長く続けたい方へ◎倉庫内のピッキング・検品スタッフ！,未経験スタート｜軽作業スタッフ｜伏見駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市中区で募集中／
アルバイト・パートでしっかり働く。
倉庫内のピッキング・検品スタッフ◎
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事は力がいるのでは？」
「経験がないと難しそう」

扱うのは片手で持てるサイズの商品が中心です。手順も決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ ピッキング（リストの棚番号を見て商品を集める）
■ 検品（品番と数量をリストと照合する）
■ 梱包（緩衝材で包み、指定の箱へ）
■ 仕分け（届け先ごとに分けて所定の場所へ）

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ フルタイム勤務（1日実働8時間程度）です
✔ 週5日以上入れる方を想定しています
✔ シフト制で担当工程は日によって変わります
✔ 勤務時間の詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 未経験から始められます
✔ 判断の基準はリストとマニュアルにあります
✔ 扱うのは片手で持てるサイズが中心です
✔ 分からないことはその場で確認できます

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区栄一丁目（伏見駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼働き方のポイント✼》

✅ ① 経験も資格も要りません
ピッキング・検品・梱包・仕分けのどれも決まった手順で進めます。

✅ ② 重いものを運ぶ作業はありません
扱うのは片手で持てるサイズの商品が中心です。

✅ ③ 毎日のリズムがつくれます
週5日以上・1日実働8時間程度の勤務なので、
生活の予定を立てやすい働き方です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市中区,軽作業スタッフ（アルバイト・パート）,上前津,愛知県名古屋市中区上前津一丁目,もくもく作業◎倉庫内のピッキング・検品スタッフ☆,資格不要｜軽作業スタッフ｜上前津駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市中区で募集中／
腰を据えて働きたい方へ。
週5日以上のフルタイム軽作業◎
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事は力がいるのでは？」
「経験がないと難しそう」

扱うのは片手で持てるサイズの商品が中心です。手順も決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ ピッキング
リストの棚番号を見て、指定された商品を集めます。
■ 検品
品番と数量がリストと合っているかを確認します。
■ 梱包
商品を緩衝材で包み、指定の箱に詰めます。
■ 仕分け
届け先ごとに商品を分け、所定の場所に置きます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ フルタイム勤務（1日実働8時間程度）です
✔ 週5日以上入れる方を想定しています
✔ シフト制で担当工程は日によって変わります
✔ 勤務時間の詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 未経験から始められます
✔ 判断の基準はリストとマニュアルにあります
✔ 扱うのは片手で持てるサイズが中心です
✔ 分からないことはその場で確認できます

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市中区上前津一丁目（上前津駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼作業のすすめ方✼》

✅ ① 経験も資格も要りません
ピッキング・検品・梱包・仕分けのどれも決まった手順で進めます。

✅ ② 重いものを運ぶ作業はありません
扱うのは片手で持てるサイズの商品が中心です。

✅ ③ 毎日のリズムがつくれます
週5日以上・1日実働8時間程度の勤務なので、
生活の予定を立てやすい働き方です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
名古屋市千種区,軽作業スタッフ（アルバイト・パート）,本山,愛知県名古屋市千種区末盛通,駅チカ勤務◎倉庫内のピッキング・検品スタッフ✨,もくもく作業｜軽作業スタッフ｜本山駅エリア,"✦・━━━━━━━━━━━━━━━・✦
＼愛知県名古屋市千種区で募集中／
生活のリズムをつくりたい方へ。
倉庫内の軽作業スタッフ募集◎
✦・━━━━━━━━━━━━━━━・✦

「倉庫の仕事は力がいるのでは？」
「経験がないと難しそう」

扱うのは片手で持てるサイズの商品が中心です。手順も決まっています。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧お仕事の内容✧】
■ ピッキング
リストの棚番号を見て、指定された商品を集めます。
■ 検品
品番と数量がリストと合っているかを確認します。
■ 梱包
商品を緩衝材で包み、指定の箱に詰めます。
■ 仕分け
届け先ごとに商品を分け、所定の場所に置きます。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務条件✧】
✔ 週5日以上・1日実働8時間程度です
✔ シフト制です
✔ 予定を立てて働きたい方に向いています
✔ 勤務日数の詳細は応募後にご案内します

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✨はじめての方へ✨】
✔ 未経験から始められます
✔ 判断の基準はリストとマニュアルにあります
✔ 扱うのは片手で持てるサイズが中心です
✔ 分からないことはその場で確認できます

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
【✧勤務地✧】

愛知県名古屋市千種区末盛通（本山駅エリア）

雇用形態はアルバイト・パートです。
給与・勤務時間・シフトなどの詳細は、
ご応募後にあらためてご案内します。
まずはお気軽にご応募ください。","《✼続けやすい理由✼》

✅ ① 経験も資格も要りません
ピッキング・検品・梱包・仕分けのどれも決まった手順で進めます。

✅ ② 重いものを運ぶ作業はありません
扱うのは片手で持てるサイズの商品が中心です。

✅ ③ 毎日のリズムがつくれます
週5日以上・1日実働8時間程度の勤務なので、
生活の予定を立てやすい働き方です。

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼向いている方✼》
✔ 週5日以上・フルタイムで働きたい方
✔ コツコツ続けるのが得意な方
✔ 手順どおりに進めるのが好きな方

＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
《✼応募について✼》
✔ 経験・資格は必要ありません
✔ 雇用形態はアルバイト・パートです
✔ 給与・勤務時間・シフトの詳細は応募後にご案内します
✔ 気になる点だけのお問い合わせも歓迎します"
